course_id,course_credit,prereqdescription,career,equivalent_course_description,term,session,subject,catalogue,title,location_description,course_name,
47200,3.5,"Prerequisite: PHYS 205; ENGR 213, 243; ENGR 311 or ELEC 342 or ELEC 364 previously or concurrently.",UGRD,,Winter 2025,13W,AERO,371,Modelling and Control Systems,Sir George Williams Campus,"Prerequisite: PHYS 205; ENGR 213, 243; ENGR 311 or ELEC 364 or ELEC 342 previously or concurrently. Definition and classification of dynamic systems and components. Modelling of system components using ordinary differential equations: mechanical, electrical, electromechanical, and electrohydraulic subsystems in an airplane. Modelling of systems using transfer function models, block diagrams and signal flow graphs. Linearization of non-linear systems. Transient and steady-state characteristics of dynamic systems. Systems analyses using time domain methods, root-locus methods, and frequency response methods. Characteristics and performance of linear feedback control systems. System stability. Proportional, integral and derivative controllers. Simulation technique using Matlab/Simulink. Lectures: three hours per week. Tutorial: one hour per week. Laboratory: two hours per week, alternate weeks.NOTE: Students who have received credit for ELEC 372 or MECH 371 may not take this course for credit.",
47200,3.5,"Prerequisite: PHYS 205; ENGR 213, 243; ENGR 311 or ELEC 342 or ELEC 364 previously or concurrently.",UGRD,,Winter 2026,13W,AERO,371,Modelling and Control Systems,Sir George Williams Campus,"Prerequisite: PHYS 205; ENGR 213, 243; ENGR 311 or ELEC 364 or ELEC 342 previously or concurrently. Definition and classification of dynamic systems and components. Modelling of system components using ordinary differential equations: mechanical, electrical, electromechanical, and electrohydraulic subsystems in an airplane. Modelling of systems using transfer function models, block diagrams and signal flow graphs. Linearization of non-linear systems. Transient and steady-state characteristics of dynamic systems. Systems analyses using time domain methods, root-locus methods, and frequency response methods. Characteristics and performance of linear feedback control systems. System stability. Proportional, integral and derivative controllers. Simulation technique using Matlab/Simulink. Lectures: three hours per week. Tutorial: one hour per week. Laboratory: two hours per week, alternate weeks.NOTE: Students who have received credit for ELEC 372 or MECH 371 may not take this course for credit.",
48354,3,Prerequisite: AERO 290; AERO 371; ENCS 282,UGRD,,Fall 2024,13W,AERO,390,AEROSPACE ENGINEERING DESIGN PROJECT,Sir George Williams Campus,"Prerequisite: AERO 290; 371; ENCS 282. This course focuses on general designphilosophy and the design process. The following topics are covered: design factors such as product safety, reliability, life cycle costs and manufacturability; design in the aerospace context (vehicle and system design with regard to mission requirements, configuration, sizing, loads, etc.); mathematical modelling, analysis, and validation; introduction to Computer-Aided Design and Engineering (CAD and CAE); design documentation. A teambased project in which an aerospace system/subsystem is designed, implemented, documented and presented is an intrinsic part of this course. Lectures: three hours per week. Tutorial: two hours per week.",
48354,3,Prerequisite: AERO 290; AERO 371; ENCS 282,UGRD,,Fall 2025,13W,AERO,390,AEROSPACE ENGINEERING DESIGN PROJECT,Sir George Williams Campus,"Prerequisite: AERO 290; 371; ENCS 282. This course focuses on general designphilosophy and the design process. The following topics are covered: design factors such as product safety, reliability, life cycle costs and manufacturability; design in the aerospace context (vehicle and system design with regard to mission requirements, configuration, sizing, loads, etc.); mathematical modelling, analysis, and validation; introduction to Computer-Aided Design and Engineering (CAD and CAE); design documentation. A teambased project in which an aerospace system/subsystem is designed, implemented, documented and presented is an intrinsic part of this course. Lectures: three hours per week. Tutorial: two hours per week.",
705,3,PREREQ: ENGR 201. Must complete all 200 level program courses before enrolling in 400 level course,UGRD,AERO 417 = ENGR 417,Fall 2024,13W,AERO,417,STNDRDS/REGUL N/CERTIF N,Sir George Williams Campus,Please see UGRD Calendar,
705,3,PREREQ: ENGR 201. Must complete all 200 level program courses before enrolling in 400 level course,UGRD,AERO 417 = ENGR 417,Fall 2025,13W,AERO,417,STNDRDS/REGUL N/CERTIF N,Sir George Williams Campus,Please see UGRD Calendar,
705,3,PREREQ: ENGR 201. Must complete all 200 level program courses before enrolling in 400 level course,UGRD,AERO 417 = ENGR 417,Summer 2024,6H1,AERO,417,STNDRDS/REGUL N/CERTIF N,Sir George Williams Campus,Please see UGRD Calendar,
705,3,PREREQ: ENGR 201. Must complete all 200 level program courses before enrolling in 400 level course,UGRD,AERO 417 = ENGR 417,Summer 2025,6H1,AERO,417,STNDRDS/REGUL N/CERTIF N,Sir George Williams Campus,Please see UGRD Calendar,
706,3.5,Prerequisite: ENGR 361; MECH 375,UGRD,AERO 431 = MECH 431,Fall 2024,13W,AERO,431,PRINCIPLES OF AEROELASTICITY,Sir George Williams Campus,Please see UGRD Calendar,
706,3.5,Prerequisite: ENGR 361; MECH 375,UGRD,AERO 431 = MECH 431,Fall 2025,13W,AERO,431,PRINCIPLES OF AEROELASTICITY,Sir George Williams Campus,Please see UGRD Calendar,
48356,3,Prerequisite: MECH 361,UGRD,,Winter 2024,13W,AERO,446,AEROSPACE VEHICLE PERFORMANCE,Sir George Williams Campus,"Prerequisite: MECH 361. Introduction to fixed-wing aircraft operation. Flying environment and its measurement by aircraft instrumentation. Computation of lift and drag, effects of viscosity and compressibility. Review of piston, turboprop, turbojet and turbofan power plants. Operational performance of aircraft in climb, cruise, descent and on ground. Advanced aircraft systems. Operational considerations in aircraft design. Projects on selected topics. Lectures: three hours per week. Tutorial: one hour per week.",
48356,3,Prerequisite: MECH 361,UGRD,,Winter 2025,13W,AERO,446,AEROSPACE VEHICLE PERFORMANCE,Sir George Williams Campus,"Prerequisite: MECH 361. Introduction to fixed-wing aircraft operation. Flying environment and its measurement by aircraft instrumentation. Computation of lift and drag, effects of viscosity and compressibility. Review of piston, turboprop, turbojet and turbofan power plants. Operational performance of aircraft in climb, cruise, descent and on ground. Advanced aircraft systems. Operational considerations in aircraft design. Projects on selected topics. Lectures: three hours per week. Tutorial: one hour per week.",
48356,3,Prerequisite: MECH 361,UGRD,,Winter 2026,13W,AERO,446,AEROSPACE VEHICLE PERFORMANCE,Sir George Williams Campus,"Prerequisite: MECH 361. Introduction to fixed-wing aircraft operation. Flying environment and its measurement by aircraft instrumentation. Computation of lift and drag, effects of viscosity and compressibility. Review of piston, turboprop, turbojet and turbofan power plants. Operational performance of aircraft in climb, cruise, descent and on ground. Advanced aircraft systems. Operational considerations in aircraft design. Projects on selected topics. Lectures: three hours per week. Tutorial: one hour per week.",
48357,3.75,"Prerequisite: ENGR 311, 391; MECH 361",UGRD,,Winter 2024,13W,AERO,455,COMPUTATIONAL FLUID DYNAMICS FOR AEROSPACE APPLICATIONS,Sir George Williams Campus,"Prerequisite: ENGR 311, 391; MECH 361. Introduction to computational methods in fluid dynamics using commercial CFD codes; aspects of geometry modelling, structured and unstructured grid generation, solution strategy, and post-processing; conversion of CAD to CFD models; an overview of basic numerical methods for the Navier-Stokes equations with emphasis on accuracy evaluation and efficiency. Elements of turbulence closure modelling. User-defined function for customized physical models into commercial CFD codes. Lectures: three hours per week. Laboratory: three hours per week, alternate weeks.",
48357,3.75,"Prerequisite: ENGR 311, 391; MECH 361",UGRD,,Winter 2025,13W,AERO,455,COMPUTATIONAL FLUID DYNAMICS FOR AEROSPACE APPLICATIONS,Sir George Williams Campus,"Prerequisite: ENGR 311, 391; MECH 361. Introduction to computational methods in fluid dynamics using commercial CFD codes; aspects of geometry modelling, structured and unstructured grid generation, solution strategy, and post-processing; conversion of CAD to CFD models; an overview of basic numerical methods for the Navier-Stokes equations with emphasis on accuracy evaluation and efficiency. Elements of turbulence closure modelling. User-defined function for customized physical models into commercial CFD codes. Lectures: three hours per week. Laboratory: three hours per week, alternate weeks.",
48357,3.75,"Prerequisite: ENGR 311, 391; MECH 361",UGRD,,Winter 2026,13W,AERO,455,COMPUTATIONAL FLUID DYNAMICS FOR AEROSPACE APPLICATIONS,Sir George Williams Campus,"Prerequisite: ENGR 311, 391; MECH 361. Introduction to computational methods in fluid dynamics using commercial CFD codes; aspects of geometry modelling, structured and unstructured grid generation, solution strategy, and post-processing; conversion of CAD to CFD models; an overview of basic numerical methods for the Navier-Stokes equations with emphasis on accuracy evaluation and efficiency. Elements of turbulence closure modelling. User-defined function for customized physical models into commercial CFD codes. Lectures: three hours per week. Laboratory: three hours per week, alternate weeks.",
707,3,"   Course Prerequisite: MECH351, MECH361",UGRD,AERO 462 = MECH 462,Fall 2024,13W,AERO,462,TURBOMACHINERY+PROPULSION,Sir George Williams Campus,Please see UGRD Calendar,
707,3,"   Course Prerequisite: MECH351, MECH361",UGRD,AERO 462 = MECH 462,Fall 2025,13W,AERO,462,TURBOMACHINERY+PROPULSION,Sir George Williams Campus,Please see UGRD Calendar,
708,3,   Course Prerequisite: MECH361,UGRD,AERO 464 = MECH 464,Fall 2024,13W,AERO,464,AERODYNAMICS,Sir George Williams Campus,Please see UGRD Calendar,
708,3,   Course Prerequisite: MECH361,UGRD,AERO 464 = MECH 464,Fall 2025,13W,AERO,464,AERODYNAMICS,Sir George Williams Campus,Please see UGRD Calendar,
708,3,   Course Prerequisite: MECH361,UGRD,AERO 464 = MECH 464,Winter 2024,13W,AERO,464,AERODYNAMICS,Sir George Williams Campus,Please see UGRD Calendar,
708,3,   Course Prerequisite: MECH361,UGRD,AERO 464 = MECH 464,Winter 2025,13W,AERO,464,AERODYNAMICS,Sir George Williams Campus,Please see UGRD Calendar,
708,3,   Course Prerequisite: MECH361,UGRD,AERO 464 = MECH 464,Winter 2026,13W,AERO,464,AERODYNAMICS,Sir George Williams Campus,Please see UGRD Calendar,
709,3.5,   Course Prerequisite: AERO462,UGRD,AERO 465 = MECH 465,Winter 2024,13W,AERO,465,GAS TURBINE DESIGN,Sir George Williams Campus,Please see UGRD Calendar,
709,3.5,   Course Prerequisite: AERO462,UGRD,AERO 465 = MECH 465,Winter 2025,13W,AERO,465,GAS TURBINE DESIGN,Sir George Williams Campus,Please see UGRD Calendar,
709,3.5,   Course Prerequisite: AERO462,UGRD,AERO 465 = MECH 465,Winter 2026,13W,AERO,465,GAS TURBINE DESIGN,Sir George Williams Campus,Please see UGRD Calendar,
49711,3.5,Prerequisite: AERO 201 or permission of the Department,UGRD,,Winter 2024,13W,AERO,471,Aircraft Hydro‑Mechanical and Fuel Systems,Sir George Williams Campus,"Prerequisite: AERO 201 or permission of the Department. This course focuses on design principles and sizing of the following aircraft systems: hydraulic system, primary and secondary flight control actuation systems, landing gear systems, and fuel system. Traditional and new technology implementations in aircraft, helicopters and other aerospace vehicles are considered. Associated standards and regulations are described. Principles of architecture development and integration, as well as engineering tools for system sizing and simulation, are covered. Lectures: three hours per week. Laboratory: 12 hours total",
49711,3.5,Prerequisite: AERO 201 or permission of the Department,UGRD,,Winter 2025,13W,AERO,471,Aircraft Hydro‑Mechanical and Fuel Systems,Sir George Williams Campus,"Prerequisite: AERO 201 or permission of the Department. This course focuses on design principles and sizing of the following aircraft systems: hydraulic system, primary and secondary flight control actuation systems, landing gear systems, and fuel system. Traditional and new technology implementations in aircraft, helicopters and other aerospace vehicles are considered. Associated standards and regulations are described. Principles of architecture development and integration, as well as engineering tools for system sizing and simulation, are covered. Lectures: three hours per week. Laboratory: 12 hours total",
49711,3.5,Prerequisite: AERO 201 or permission of the Department,UGRD,,Winter 2026,13W,AERO,471,Aircraft Hydro‑Mechanical and Fuel Systems,Sir George Williams Campus,"Prerequisite: AERO 201 or permission of the Department. This course focuses on design principles and sizing of the following aircraft systems: hydraulic system, primary and secondary flight control actuation systems, landing gear systems, and fuel system. Traditional and new technology implementations in aircraft, helicopters and other aerospace vehicles are considered. Associated standards and regulations are described. Principles of architecture development and integration, as well as engineering tools for system sizing and simulation, are covered. Lectures: three hours per week. Laboratory: 12 hours total",
710,3.5,"  You must complete 1 of the following rules   Course Prerequisite: AERO371, ELEC372, MECH371, SOEN385",UGRD,ELEC 415 = MECH 480 = AERO 480,Fall 2024,13W,AERO,480,FLIGHT CONTROL SYSTEMS,Sir George Williams Campus,Please see UGRD Calendar,
710,3.5,"  You must complete 1 of the following rules   Course Prerequisite: AERO371, ELEC372, MECH371, SOEN385",UGRD,ELEC 415 = MECH 480 = AERO 480,Fall 2025,13W,AERO,480,FLIGHT CONTROL SYSTEMS,Sir George Williams Campus,Please see UGRD Calendar,
48358,3.5,Prerequisite: MECH 221 or MIAE 221,UGRD,,Fall 2024,13W,AERO,481,MATERIALS ENGINEERING FOR AEROSPACE,Sir George Williams Campus,"Prerequisite: MECH 221 or MIAE 221. Different types of materials used in aerospace. Metals, composites, ceramics, polymers. Failure prediction and prevention. Modes of material failure, fracture, fatigue, creep, corrosion, impact. Effect of high temperature and multiaxial loadings. High temperature materials. Cumulative damage in fatigue and creep. Materials selection. Lectures: three hours per week. Laboratory: two hours per week, alternate weeks.NOTE: Students who have received credit for MECH 321 or 481 may not take this course for credit.",
48358,3.5,Prerequisite: MECH 221 or MIAE 221,UGRD,,Fall 2025,13W,AERO,481,MATERIALS ENGINEERING FOR AEROSPACE,Sir George Williams Campus,"Prerequisite: MECH 221 or MIAE 221. Different types of materials used in aerospace. Metals, composites, ceramics, polymers. Failure prediction and prevention. Modes of material failure, fracture, fatigue, creep, corrosion, impact. Effect of high temperature and multiaxial loadings. High temperature materials. Cumulative damage in fatigue and creep. Materials selection. Lectures: three hours per week. Laboratory: two hours per week, alternate weeks.NOTE: Students who have received credit for MECH 321 or 481 may not take this course for credit.",
711,3,Course Prerequisite: AERO 371 or ELEC372 or MECH370 or SOEN385; ENGR371 or COMP233,UGRD,ELEC 416 = MECH 482 = AERO 482,Fall 2024,13W,AERO,482,AVIONIC NAVIGATION SYSTEMS,Sir George Williams Campus,Please see UGRD Calendar,
711,3,Course Prerequisite: AERO 371 or ELEC372 or MECH370 or SOEN385; ENGR371 or COMP233,UGRD,ELEC 416 = MECH 482 = AERO 482,Fall 2025,13W,AERO,482,AVIONIC NAVIGATION SYSTEMS,Sir George Williams Campus,Please see UGRD Calendar,
712,3,"Course Prerequisite: AERO482, ELEC 481",UGRD,AERO 483 = ENGR 418,Winter 2024,13W,AERO,483,INTEGR. OF AVIONIC SYSTEMS,Sir George Williams Campus,Please see UGRD Calendar,
712,3,"Course Prerequisite: AERO482, ELEC 481",UGRD,AERO 483 = ENGR 418,Winter 2025,13W,AERO,483,INTEGR. OF AVIONIC SYSTEMS,Sir George Williams Campus,Please see UGRD Calendar,
712,3,"Course Prerequisite: AERO482, ELEC 481",UGRD,AERO 483 = ENGR 418,Winter 2026,13W,AERO,483,INTEGR. OF AVIONIC SYSTEMS,Sir George Williams Campus,Please see UGRD Calendar,
25371,3,"Prerequisite: MECH 351, 361",UGRD,AERO 485 = MECH 485,Winter 2024,13W,AERO,485,INTRO. TO SPACE SYSTEMS,Sir George Williams Campus,Please see UGRD Calendar,
25371,3,"Prerequisite: MECH 351, 361",UGRD,AERO 485 = MECH 485,Winter 2025,13W,AERO,485,INTRO. TO SPACE SYSTEMS,Sir George Williams Campus,Please see UGRD Calendar,
25371,3,"Prerequisite: MECH 351, 361",UGRD,AERO 485 = MECH 485,Winter 2026,13W,AERO,485,INTRO. TO SPACE SYSTEMS,Sir George Williams Campus,Please see UGRD Calendar,
713,3,"   Course Prerequisite: ENGR243, ENGR244",UGRD,AERO 486 = MECH 486,Fall 2024,13W,AERO,486,AIRCRAFT STRESS ANALYSIS,Sir George Williams Campus,Please see UGRD Calendar,
713,3,"   Course Prerequisite: ENGR243, ENGR244",UGRD,AERO 486 = MECH 486,Fall 2025,13W,AERO,486,AIRCRAFT STRESS ANALYSIS,Sir George Williams Campus,Please see UGRD Calendar,
714,3,   Course Prerequisite: AERO486,UGRD,AERO 487 = MECH 487,Winter 2024,13W,AERO,487,DESIGN OF AIRCRAFT STRUCTURE,Sir George Williams Campus,Please see UGRD Calendar,
714,3,   Course Prerequisite: AERO486,UGRD,AERO 487 = MECH 487,Winter 2025,13W,AERO,487,DESIGN OF AIRCRAFT STRUCTURE,Sir George Williams Campus,Please see UGRD Calendar,
714,3,   Course Prerequisite: AERO486,UGRD,AERO 487 = MECH 487,Winter 2026,13W,AERO,487,DESIGN OF AIRCRAFT STRUCTURE,Sir George Williams Campus,Please see UGRD Calendar,
48359,6,Prerequisite: 75 credits in the program; AERO 390; ENGR 301,UGRD,,Fall/Winter 2024-25,26W,AERO,490,CAPSTONE AEROSPACE ENGINEERING DESIGN PROJECT,Sir George Williams Campus,"Prerequisite: 75 credits in the program; AERO 390; ENGR 301. This course includes a supervised design, simulation or experimental capstone design project including a preliminary project proposal with complete project plan and a technical report at the end of the fall term; a final report by the group and presentation at the end of the winter term. Lectures: one hour per week, one term. Equivalent laboratory time: three hours per week, two terms.NOTE: Students will work in groups under direct supervision of a faculty member.NOTE: With permission of the Department, students may enroll in MECH 490 instead of AERO 490 on the condition that they choose to complete an aerospace-oriented project.",
48359,6,Prerequisite: 75 credits in the program; AERO 390; ENGR 301,UGRD,,Fall/Winter 2025-26,26W,AERO,490,CAPSTONE AEROSPACE ENGINEERING DESIGN PROJECT,Sir George Williams Campus,"Prerequisite: 75 credits in the program; AERO 390; ENGR 301. This course includes a supervised design, simulation or experimental capstone design project including a preliminary project proposal with complete project plan and a technical report at the end of the fall term; a final report by the group and presentation at the end of the winter term. Lectures: one hour per week, one term. Equivalent laboratory time: three hours per week, two terms.NOTE: Students will work in groups under direct supervision of a faculty member.NOTE: With permission of the Department, students may enroll in MECH 490 instead of AERO 490 on the condition that they choose to complete an aerospace-oriented project.",
5054,3.5,MATH 204,UGRD,COEN 312 = COEN 212,Fall 2024,13W,COEN,212,Digital Systems Design I,Sir George Williams Campus,"Prerequisite/Corequisite:The following course must be completed previously: MATH 204 (Cegep Mathematics 105).Description:This course starts with an overview of binary and other radix-based formats, and unsigned and signed binary arithmetic. Logic gates, Boolean algebra theorems and properties, logical functions with canonical and standard forms, logic minimization using Boolean algebra and K-maps are addressed. Then, the course presents design methodologies of combinational circuits that lead to relevant gate-level diagrams such as adders, subtractors, multipliers, comparators, decoders, encoders, multiplexers, and demultiplexers. Sequential circuits starting with latches and flip-flops are introduced. Subsequently, registers and counters are presented. Design of synchronous sequential circuits with relevant schematic diagrams are then addressed. Finite State Machines (FSMs) with state equivalence and minimization are also introduced. Finally, introduction to memory and Programmable Logic Devices (PLDs) is presented.",
5054,3.5,MATH 204,UGRD,COEN 312 = COEN 212,Fall 2025,13W,COEN,212,Digital Systems Design I,Sir George Williams Campus,"Prerequisite/Corequisite:The following course must be completed previously: MATH 204 (Cegep Mathematics 105).Description:This course starts with an overview of binary and other radix-based formats, and unsigned and signed binary arithmetic. Logic gates, Boolean algebra theorems and properties, logical functions with canonical and standard forms, logic minimization using Boolean algebra and K-maps are addressed. Then, the course presents design methodologies of combinational circuits that lead to relevant gate-level diagrams such as adders, subtractors, multipliers, comparators, decoders, encoders, multiplexers, and demultiplexers. Sequential circuits starting with latches and flip-flops are introduced. Subsequently, registers and counters are presented. Design of synchronous sequential circuits with relevant schematic diagrams are then addressed. Finite State Machines (FSMs) with state equivalence and minimization are also introduced. Finally, introduction to memory and Programmable Logic Devices (PLDs) is presented.",
5054,3.5,MATH 204,UGRD,COEN 312 = COEN 212,Summer 2024,13W,COEN,212,Digital Systems Design I,Sir George Williams Campus,"Prerequisite/Corequisite:The following course must be completed previously: MATH 204 (Cegep Mathematics 105).Description:This course starts with an overview of binary and other radix-based formats, and unsigned and signed binary arithmetic. Logic gates, Boolean algebra theorems and properties, logical functions with canonical and standard forms, logic minimization using Boolean algebra and K-maps are addressed. Then, the course presents design methodologies of combinational circuits that lead to relevant gate-level diagrams such as adders, subtractors, multipliers, comparators, decoders, encoders, multiplexers, and demultiplexers. Sequential circuits starting with latches and flip-flops are introduced. Subsequently, registers and counters are presented. Design of synchronous sequential circuits with relevant schematic diagrams are then addressed. Finite State Machines (FSMs) with state equivalence and minimization are also introduced. Finally, introduction to memory and Programmable Logic Devices (PLDs) is presented.",
